"","act","fru","app","attfoc","attshi","attcon","dis","sth","fea","hip","imp","inh","lip","per","sad","shy","smi"
"fs2001",6.53846153846154,6.15384615384615,6.76923076923077,2.88888888888889,3.4,3.07142857142857,4.91666666666667,3.46153846153846,4.75,6.30769230769231,6.30769230769231,4.30769230769231,4.58333333333333,5.90909090909091,5.83333333333333,1.23076923076923,6
"fs2002",4.53846153846154,2.84615384615385,5.61538461538461,5.11111111111111,5.6,5.28571428571429,3.08333333333333,6,3.5,4.5,5.33333333333333,6.07692307692308,5.75,5.41666666666667,3.16666666666667,2.15384615384615,6
"fs2003",5.23076923076923,4.30769230769231,5.69230769230769,4,3.8,3.92857142857143,4.41666666666667,4.38461538461539,4.83333333333333,5.23076923076923,4.66666666666667,3.69230769230769,5.16666666666667,4.63636363636364,4.66666666666667,3.53846153846154,4.91666666666667
"fs2004",4.23076923076923,5.07692307692308,6.07692307692308,4.88888888888889,4.4,4.71428571428571,4.66666666666667,3.61538461538462,3.58333333333333,5.92307692307692,5.15384615384615,4.46153846153846,5.84615384615385,6,5.25,2.76923076923077,4.92307692307692
"fs2005",4.69230769230769,3.92307692307692,5.07692307692308,4.77777777777778,4.8,4.78571428571429,4.08333333333333,5.15384615384615,4.5,5.23076923076923,4.33333333333333,4.30769230769231,4.5,4.6,3.66666666666667,2.92307692307692,5.23076923076923
"fs2006",3.30769230769231,4.46153846153846,5,5.66666666666667,5.8,5.71428571428571,4.16666666666667,6.30769230769231,3.41666666666667,4.66666666666667,4.25,5.07692307692308,5.75,5.8,4.41666666666667,5.46153846153846,5.16666666666667
"fs2007",4.84615384615385,3.38461538461538,5.92307692307692,5.77777777777778,5.2,5.57142857142857,4.25,5.07692307692308,4.41666666666667,5.15384615384615,4.75,5.84615384615385,6,5.58333333333333,4.83333333333333,3.84615384615385,6
"fs2008",4.69230769230769,5.07692307692308,6.30769230769231,4.22222222222222,3,3.78571428571429,4.25,3.15384615384615,5.25,5.61538461538461,4.75,3.92307692307692,5.08333333333333,5.18181818181818,5,4.76923076923077,4.46153846153846
"fs2009",4.84615384615385,4.07692307692308,4.92307692307692,3.88888888888889,4.4,4.07142857142857,4.16666666666667,4.84615384615385,3.75,5.15384615384615,5,4.69230769230769,4.92307692307692,4.54545454545455,3.41666666666667,2.30769230769231,5.33333333333333
"fs2010",4.92307692307692,5.76923076923077,5.69230769230769,4.33333333333333,4,4.21428571428571,4.66666666666667,4.15384615384615,4.5,4.30769230769231,4.66666666666667,4.53846153846154,4.91666666666667,6.3,4.5,4.30769230769231,5.76923076923077
"fs2011",6.30769230769231,4.61538461538461,5.53846153846154,4.55555555555556,5,4.71428571428571,3,4.38461538461539,3.16666666666667,6.33333333333333,5.91666666666667,5.07692307692308,5.41666666666667,5.8,4.75,2.61538461538462,6.08333333333333
"fs2012",4.38461538461539,5.07692307692308,6.15384615384615,4.33333333333333,3.8,4.14285714285714,5,4.46153846153846,4.08333333333333,6.25,4.5,4.61538461538461,6.33333333333333,5.2,5.75,5.23076923076923,4.91666666666667
"fs2013",4.15384615384615,4.23076923076923,5.30769230769231,3.66666666666667,4.6,4,5,4.84615384615385,4.33333333333333,3.66666666666667,4.53846153846154,5.30769230769231,4.58333333333333,5.33333333333333,3.41666666666667,4.38461538461539,4.5
"fs2014",5.76923076923077,5.07692307692308,5.46153846153846,4.22222222222222,4.6,4.35714285714286,3.91666666666667,4.53846153846154,5.5,5.46153846153846,4.69230769230769,3.92307692307692,4.83333333333333,5.08333333333333,4.83333333333333,2.76923076923077,5
"fs2015",6,5.23076923076923,6,4,4.4,4.14285714285714,3.75,3.76923076923077,3.33333333333333,5.58333333333333,4.91666666666667,4.23076923076923,5.41666666666667,4.90909090909091,4.41666666666667,3,4.84615384615385
"fs2016",4.15384615384615,3.07692307692308,4.61538461538461,4.77777777777778,4.8,4.78571428571429,3.58333333333333,5.15384615384615,4.41666666666667,4.38461538461539,4.15384615384615,5.53846153846154,5.53846153846154,5,3.41666666666667,3.38461538461538,5.23076923076923
"fs2017",3.69230769230769,3.07692307692308,5.30769230769231,5.55555555555556,5,5.35714285714286,2.75,5.30769230769231,3.75,5.07692307692308,3.75,5.76923076923077,5.84615384615385,5.54545454545455,4.16666666666667,4.07692307692308,5.23076923076923
"fs2018",5.07692307692308,3.46153846153846,5,5,5.8,5.28571428571429,2.5,5.30769230769231,4.41666666666667,4.69230769230769,4.84615384615385,5.15384615384615,5.25,5.58333333333333,4.41666666666667,2.30769230769231,6
"fs2019",4,3.92307692307692,5,4.77777777777778,3.8,4.42857142857143,3.58333333333333,4.53846153846154,4.08333333333333,4.92307692307692,4.53846153846154,4.53846153846154,4.92307692307692,4.6,4.5,3.38461538461538,4.25
"fs2020",4.61538461538461,4.07692307692308,5.61538461538461,4.22222222222222,4.8,4.42857142857143,4.75,4.38461538461539,5.16666666666667,5.46153846153846,4.84615384615385,5.07692307692308,5.23076923076923,5.25,4.58333333333333,3.53846153846154,5.38461538461539
"fs2021",6.23076923076923,4.23076923076923,6,4,4.2,4.07142857142857,3.41666666666667,3.84615384615385,4.66666666666667,6,6,4.38461538461539,5.07692307692308,5.33333333333333,3.91666666666667,1.76923076923077,6.15384615384615
"fs2022",4.61538461538461,4.46153846153846,5.84615384615385,3.88888888888889,4.6,4.14285714285714,4.33333333333333,4.69230769230769,4.41666666666667,4.61538461538461,4.53846153846154,4.38461538461539,5.76923076923077,5,4.08333333333333,3.15384615384615,5.5
"fs2023",4.23076923076923,3.69230769230769,5.15384615384615,4.66666666666667,4.6,4.64285714285714,4.25,4.84615384615385,3.91666666666667,5.66666666666667,4.5,5.23076923076923,5.41666666666667,5.4,4.66666666666667,3.61538461538462,4.66666666666667
"fs2024",3.84615384615385,3.84615384615385,5,4.44444444444444,4.4,4.42857142857143,3.83333333333333,5,4.41666666666667,3.91666666666667,4,5.07692307692308,5.25,5.27272727272727,4.16666666666667,4.23076923076923,4.58333333333333
"fs2025",4.53846153846154,2.84615384615385,4.61538461538461,4.55555555555556,4.2,4.42857142857143,3.66666666666667,5.69230769230769,5,4.33333333333333,3.53846153846154,5.07692307692308,4.83333333333333,5,2.83333333333333,4,4.58333333333333
"fs2026",4.92307692307692,4.84615384615385,4.38461538461539,4.88888888888889,4.6,4.78571428571429,4.08333333333333,4.84615384615385,3.75,4.5,5.08333333333333,5,5.38461538461539,4.1,3.5,2.38461538461538,5.30769230769231
"fs2027",4,2.15384615384615,5.61538461538461,4.22222222222222,5.8,4.78571428571429,2.91666666666667,6.38461538461539,4.16666666666667,3.83333333333333,4.66666666666667,5.84615384615385,6,4.63636363636364,2.41666666666667,2.38461538461538,6.07692307692308
"fs2028",4.23076923076923,5,5.61538461538461,3.33333333333333,4,3.57142857142857,3.91666666666667,4.15384615384615,5.25,5.30769230769231,4.53846153846154,4.53846153846154,5,4.91666666666667,4.41666666666667,2.69230769230769,4.84615384615385
"fs2029",3.76923076923077,4.69230769230769,5.53846153846154,5.22222222222222,4.6,5,4.16666666666667,4.30769230769231,4.08333333333333,5.58333333333333,4.33333333333333,4.07692307692308,5.25,4.3,5.08333333333333,4.07692307692308,4.53846153846154
"fs2030",4.61538461538461,5.38461538461539,5.46153846153846,4.11111111111111,4.6,4.28571428571429,3.91666666666667,4.92307692307692,4.58333333333333,5.16666666666667,5.41666666666667,4.15384615384615,4.66666666666667,4.91666666666667,3.25,2.38461538461538,4.83333333333333
"fs2031",4.07692307692308,3.53846153846154,4.92307692307692,4.22222222222222,4.2,4.21428571428571,4.08333333333333,5.46153846153846,4.25,4.92307692307692,4.07692307692308,5.15384615384615,5.38461538461539,5,3.5,2.30769230769231,5.76923076923077
"fs2032",4.15384615384615,3.76923076923077,4.61538461538461,4.22222222222222,4,4.14285714285714,4.33333333333333,4.30769230769231,5.25,3.91666666666667,3.23076923076923,4.69230769230769,5,5,4.25,4.30769230769231,5.08333333333333
"fs2033",4.76923076923077,3.61538461538462,5.46153846153846,4.44444444444444,4.6,4.5,3,5.30769230769231,4.16666666666667,4.66666666666667,4.58333333333333,4.46153846153846,5.15384615384615,4.81818181818182,3.5,3.53846153846154,5.08333333333333
"fs2034",4.69230769230769,4.92307692307692,6.23076923076923,4.77777777777778,4.2,4.57142857142857,4.66666666666667,4.61538461538461,4.91666666666667,4.46153846153846,4.38461538461539,5,5.53846153846154,5.41666666666667,4.58333333333333,3.76923076923077,5.84615384615385
"fs2035",5.46153846153846,3.07692307692308,5.76923076923077,4.11111111111111,4.8,4.35714285714286,3.16666666666667,4.84615384615385,3.91666666666667,5.38461538461539,5,4.84615384615385,5.38461538461539,5.2,3.83333333333333,2.30769230769231,5.75
"fs2036",5.23076923076923,4.38461538461539,5.30769230769231,4.77777777777778,3,4.14285714285714,3.83333333333333,3.38461538461538,6.16666666666667,5,4.53846153846154,5,5.5,5.25,4.33333333333333,2.69230769230769,5.69230769230769
